update_at,title,views
1655128982.986001,Minecraft,120000
1655128982.986001,Valorant,67000
1655128982.986001,Grand Theft Auto V,65000
1655128982.986001,Among Us,30000
1655128982.986001,Mobile Legends: Bang Bang,21000
1655128982.986001,Call of Duty: Warzone,17000
1655128982.986001,Garena Free Fire,14000
1655128982.986001,Project Zomboid,14000
1655128982.986001,Lineage W,13000
1655128982.986001,Apex Legends,12000
1655128982.986001,BeamNG.drive,12000
1655128982.986001,Fortnite,12000
1655128982.986001,Unpacking,12000
1655128982.986001,Battlegrounds Mobile India,10000
1655128982.986001,Genshin Impact,10000
1655128982.986001,League of Legends,9400
1655128982.986001,Dead by Daylight,8500
1655128982.986001,Passpartout 2: The Lost Artist,7300
1655128982.986001,StarCraft: Remastered,6800
1655128982.986001,Lineage M,6400
1655128982.986001,Yu-Gi-Oh! Master Duel,6000
1655128982.986001,Arena of Valor,5900
1655128982.986001,World of Tanks,5800
1655128982.986001,Metal Gear Solid V: The Phantom Pain,5800
1655128982.986001,ARK: Survival Evolved,5600
1655128982.986001,Final Fantasy XIV,5500
1655128982.986001,FIFA 22,5400
1655128982.986001,PUBG Mobile,5300
1655128982.986001,Monster Hunter Rise,5200
1655128982.986001,Stumble Guys,5200
1655128982.986001,The Quarry,4900
1655128982.986001,Rust,4700
1655128982.986001,PlayerUnknown's Battlegrounds,4600
1655128982.986001,Splatoon 2,4500
1655128982.986001,StarCraft,4300
1655128982.986001,Mahjong Soul,4300
1655128982.986001,Call of Duty: Mobile,4200
1655128982.986001,DEVOUR,4000
1655128982.986001,Spore,3900
1655128982.986001,Dota 2,3800
1655128982.986001,Uma Musume Pretty Derby,3600
1655128982.986001,Dread Hunger,3500
1655128982.986001,Roblox,3400
1655128982.986001,Animal Crossing: New Horizons,3300
1655128982.986001,MapleStory,3200
1655128982.986001,Pokémon Sword and Shield,3200
1655128982.986001,PROFESSIONAL BASEBALL SPIRITS A,3100
1655128982.986001,Identity V,3000
1655128982.986001,Diablo II: Resurrected,2900
1655128982.986001,Mario Kart 8 Deluxe,2900
1655128982.986001,Super Smash Bros. Ultimate,2900
1655128982.986001,Arknights,2700
1655128982.986001,Guilty Gear -Strive-,2500
1655128982.986001,Diablo Immortal,2500
1655128982.986001,Taikō Risshiden V,2500
1655128982.986001,Poppy Playtime,2300
1655128982.986001,Pokémon FireRed and LeafGreen,2200
1655128982.986001,Victorious Boxers: Ippo's Road to Glory,2200
1655128982.986001,Mega Man X5,2100
1655128982.986001,Elden Ring,2100
1655128982.986001,Garena Free Fire MAX,2100
1655128982.986001,The King of Fighters XV,2100
1655128982.986001,Until Dawn,2000
1655128982.986001,Resident Evil 4,2000
1655128982.986001,Standoff 2,2000
1655128982.986001,Teamfight Tactics,1900
1655128982.986001,Counter-Strike: Global Offensive,1900
1655128982.986001,Lost Ark,1800
1655128982.986001,Pokémon Unite,1800
1655128982.986001,Iron Lung,1800
1655128982.986001,The Cycle: Frontier,1700
1655128982.986001,Apex Legends Mobile,1700
1655128982.986001,Slot Gacor : Pragmatic Play,1600
1655128982.986001,We Were Here Forever,1500
1655128982.986001,Phantasy Star Online 2,1500
1655128982.986001,7 Days to Die,1500
1655128982.986001,Sic bo,1400
1655128982.986001,Brawl Stars,1400
1655128982.986001,F1 2021,1400
1655128982.986001,Pokémon GO,1300
1655128982.986001,Lineage,1300
1655128982.986001,League of Legends: Wild Rift,1300
1655128982.986001,Call of Duty: Black Ops III,1300
1655128982.986001,Magic: The Gathering Arena,1300
1655128982.986001,Clash of Clans,1300
1655128982.986001,PUBG MOBILE LITE,1200
1655128982.986001,World of Warcraft,1200
1655128982.986001,Gran Turismo 7,1100
1655128982.986001,Dragon Quest VIII,1100
1655128982.986001,eFootball 2022,1100
1655128982.986001,The Backrooms 1998 - Found Footage Survival Horror Game,1100
