update_at,game_title,live_views
1655183993.369317,Mobile Legends: Bang Bang,136000
1655183993.369317,Garena Free Fire,24000
1655183993.369317,Apex Legends,20000
1655183993.369317,Minecraft,18000
1655183993.369317,Valorant,14000
1655183993.369317,Battlegrounds Mobile India,12000
1655183993.369317,BeamNG.drive,10000
1655183993.369317,Grand Theft Auto V,8600
1655183993.369317,Phasmophobia,7900
1655183993.369317,Elden Ring,7400
1655183993.369317,Yakuza 3,4300
1655183993.369317,Fortnite,3300
1655183993.369317,Poppy Playtime,3000
1655183993.369317,Monster Hunter Rise,2200
1655183993.369317,League of Legends,2200
1655183993.369317,NBA 2K22,2100
1655183993.369317,Clash Royale,2000
1655183993.369317,Monster Strike,1900
1655183993.369317,The Cycle: Frontier,1800
1655183993.369317,Roblox,1800
1655183993.369317,Genshin Impact,1700
1655183993.369317,Dead by Daylight,1600
1655183993.369317,Artery Gear: Fusion,1600
1655183993.369317,Lineage W,1600
1655183993.369317,Call of Duty: Warzone,1600
1655183993.369317,Lost Ark,1600
1655183993.369317,Lineage M,1600
1655183993.369317,Garena Free Fire MAX,1500
1655183993.369317,Resident Evil 2,1300
1655183993.369317,Stumble Guys,1300
1655183993.369317,Dota 2,1200
1655183993.369317,Stick War: Legacy,1100
1655183993.369317,Uma Musume Pretty Derby,1100
1655183993.369317,Pokémon Unite,1100
1655183993.369317,Identity V,1000
1655183993.369317,PUBG Mobile,1000
1655183993.369317,Sandwich Runner,955
1655183993.369317,PUBG MOBILE LITE,929
1655183993.369317,Plants vs. Zombies,890
1655183993.369317,DayZ,833
1655183993.369317,Call of Duty: Mobile,831
1655183993.369317,eFootball 2022,775
1655183993.369317,Final Fantasy XIV,723
1655183993.369317,3D Driving Class,722
1655183993.369317,Call of Duty: Modern Warfare,717
1655183993.369317,FIFA 22,700
1655183993.369317,PK XD - Explore Universes,683
1655183993.369317,Scary Teacher 3D,655
1655183993.369317,Mahjong Soul,641
1655183993.369317,FIFA Mobile,624
1655183993.369317,Wizard101,570
1655183993.369317,Red Dead Redemption 2,565
1655183993.369317,Swordsman Online - VNG,529
1655183993.369317,Ni no Kuni: Cross Worlds,506
1655183993.369317,Among Us,502
1655183993.369317,Teamfight Tactics,499
1655183993.369317,Hair Rush,498
1655183993.369317,Blue Archive,492
1655183993.369317,World of Tanks,484
1655183993.369317,Diablo Immortal,471
1655183993.369317,新信長の野望,464
1655183993.369317,Yu-Gi-Oh! Duel Links,461
1655183993.369317,Arena of Valor,452
1655183993.369317,Deceit,450
1655183993.369317,Splatoon 2,427
1655183993.369317,My Talking Tom 2,421
1655183993.369317,StarCraft: Remastered,420
1655183993.369317,Ragnarok Online,408
1655183993.369317,Miracle Match,407
1655183993.369317,Bus Simulator Indonesia,404
1655183993.369317,Red Ball 4,395
1655183993.369317,Diablo II: Resurrected,384
